Dataset,Instance,Algorithm,NV_mean,NV_std,NV_diff,TD_mean,TD_std,Gap%,OnTime,Time_s,NV_cv,TD_cv,NV_inflated,raw_costs,raw_nv
RC2,C101,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,828.94,0.0,-0.0,100.0,21.9,0.0,0.0,False,828.9369;828.9369;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C102,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,828.94,0.0,-0.0,100.0,30.0,0.0,0.0,False,828.9369;828.9369;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C103,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,829.51,1.77,0.17,100.0,32.9,0.0,0.21,False,828.0649;828.0649;831.8687;828.0649;831.4820,10;10;10;10;10
RC2,C104,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,831.67,8.2,0.83,100.0,41.8,0.0,0.99,False,844.4636;824.7767;824.7767;838.3601;825.9553,10;10;10;10;10
RC2,C105,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,828.94,0.0,-0.0,100.0,23.5,0.0,0.0,False,828.9369;828.9369;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C106,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,828.94,0.0,-0.0,100.0,28.4,0.0,0.0,False,828.9369;828.9369;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C107,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,842.31,16.38,1.61,100.0,25.3,0.0,1.94,False,828.9369;828.9369;828.9369;862.3749;862.3749,10;10;10;10;10
RC2,C108,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,828.94,0.0,-0.0,100.0,42.0,0.0,0.0,False,828.9369;828.9369;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C109,Hybrid-DDQN-Transfer-DR,10.0,0.0,0.0,834.19,10.5,0.63,100.0,29.2,0.0,1.26,False,828.9369;855.1978;828.9369;828.9369;828.9369,10;10;10;10;10
RC2,C201,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,591.56,0.0,-0.0,100.0,27.5,0.0,0.0,False,591.5566;591.5566;591.5566;591.5566;591.5566,3;3;3;3;3
RC2,C202,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,662.42,57.99,11.98,100.0,30.6,0.0,8.75,False,706.4031;716.6872;591.5566;705.9126;591.5566,3;3;3;3;3
